Ticker,Return_6M,Volatility,Beta,PE,PB,EV_Revenue,GrossMargin,ProfitMargin,ROE,MarketCap,Company,Sector,IndexSource,RSI_14,SMA20_above_SMA50,MACD,Momentum_10,BB_Percent,ValueScore,QualityScore,SignalScore,ExtractionDate
MMM,0.10704532302336234,0.021470520961785283,1.083,18.171957,17.591417,3.504,0.41210997,0.17791,0.93824,78531805184.0,3M,Industrials,SP500,50.19248744810678,1.0,1.2991861217169287,-2.0064411437140395,0.25922995910247026,0.9256928098578003,0.3647075015078032,0.6054675489417498,2025-06-06
AOS,-0.10353458317597253,0.016637830651178312,1.213,17.998604,4.9360347,2.409,0.38042,0.13741,0.27969998,9156792320.0,A. O. Smith,Industrials,SP500,44.040657278929714,1.0,-0.7701730207501782,-4.3342818454731145,0.25297920099310645,0.9317000714205876,0.3306111259452773,0.6584742612371228,2025-06-06
ABT,0.1677672558893104,0.01420258531377084,0.737,17.359741,4.7645693,5.662,0.55989,0.31886,0.30649,232564408320.0,Abbott Laboratories,Health Care,SP500,54.57998341741944,1.0,0.6909279632779146,1.6197755762832702,0.6149060986181231,0.9315677573502997,0.44131967347455964,0.5505625036383726,2025-06-06
ABBV,0.09915977982335189,0.018023058026120805,0.491,81.23718,236.43657,6.904,0.71015,0.073130004,0.884,335783821312.0,AbbVie,Health Care,SP500,56.805752734987884,0.0,0.2692488059016682,4.231952661139096,0.9261181466004653,0.8144232823768616,0.4688038759261761,0.5158493595858888,2025-06-06
ACN,-0.1178214175413711,0.01859420027172057,1.327,26.115322,6.790901,2.945,0.32182997,0.114300005,0.26965,198475284480.0,Accenture,Information Technology,SP500,55.55806169752343,1.0,2.42416706519208,0.20413843224229983,0.5083570786342786,0.9295921662548153,0.3069805112335933,0.5577643573685291,2025-06-06
ADBE,-0.2449634905008412,0.024368400453655074,1.545,27.558086,13.869216,7.99,0.89155,0.30635,0.47284,177940627456.0,Adobe Inc.,Information Technology,SP500,63.25219338691482,1.0,8.122192832444284,0.7554376907901109,0.7201372998910864,0.9256168730661167,0.3697626350389857,0.5118771932026867,2025-06-06
AMD,-0.15437619747751585,0.037141161627700106,1.993,85.54379,3.2720494,6.667,0.53578,0.080249995,0.03904,190019977216.0,Advanced Micro Devices,Information Technology,SP500,61.47333082147245,1.0,3.8840325366992516,5.871195062552973,0.7558658186400342,0.922120853281326,0.24480961301074333,0.47635796006651765,2025-06-06
AES,-0.14620395576440492,0.03148737068598613,0.939,5.855978,2.2120714,3.466,0.17625,0.10669,0.05583,7670970368.0,AES Corporation,Utilities,SP500,52.72733260503443,1.0,-0.13388977606817676,11.889922019547452,0.47850201716357843,0.934654940795266,0.32702987368911346,0.46883518949815606,2025-06-06
AFL,-0.025790131357509516,0.01555100020556496,0.807,16.079315,2.1295571,3.491,0.45408002,0.21274,0.14408,55897284608.0,Aflac,Financials,SP500,47.04995859988034,0.0,-0.7371006433170351,1.001658732443642,0.42198957992354313,0.9331847002924238,0.3984783783234039,0.5953500758142198,2025-06-06
A,-0.1766361283431248,0.021392909126070992,1.232,28.396553,5.334783,5.215,0.53576,0.17592,0.18882999,32749852672.0,Agilent Technologies,Health Care,SP500,58.06375685066291,1.0,1.0939534293489572,5.0464952747211544,0.814959173404679,0.9297188731456475,0.351693820372929,0.5019149525854956,2025-06-06
APD,-0.11907779088647785,0.018226359867413014,0.873,40.197693,4.2162857,6.528,0.31947002,0.12755,0.095790006,61994082304.0,Air Products,Materials,SP500,54.03698162801011,1.0,1.4698272585890777,3.49502451471563,0.7282007803866851,0.9283762153928676,0.3581163004922186,0.5365160979587531,2025-06-06
ABNB,0.029725440977561135,0.029849779838266338,1.144,35.784264,10.995945,6.724,0.83048,0.22596,0.3206,87020863488.0,Airbnb,Consumer Discretionary,SP500,69.62807145527539,1.0,2.731020842004426,10.763805483373986,0.9903978752746213,0.9258587165484494,0.409643772423,0.3907687663265328,2025-06-06
AKAM,-0.21619414109789836,0.030907049216418007,0.769,25.791946,2.4491746,3.59,0.59073,0.11262,0.09821,10939944960.0,Akamai Technologies,Information Technology,SP500,47.38922300998169,0.0,-0.6530599011915257,-0.3892099696823626,0.441687524149726,0.9315959412379132,0.4079059563734594,0.6059660997892757,2025-06-06
ARE,-0.3043910984919994,0.021116941515258728,1.267,92.47369,0.68462324,9.497,0.70521003,0.0461,0.01476,12157666304.0,Alexandria Real Estate Equities,Real Estate,SP500,43.43040192114725,0.0,-1.7475403011325596,2.4923466976542477,0.41225061633505417,0.9220354891387256,0.34994411585077756,0.6010171894842153,2025-06-06
ALGN,-0.2205724065148822,0.026282227682197797,1.64,32.927273,3.4870512,3.093,0.70022005,0.10288,0.108430006,13126998016.0,Align Technology,Health Care,SP500,52.97574054413851,1.0,0.9037934202437441,4.837498449678395,0.478979434531602,0.9301093335356081,0.30881404282798863,0.5301657408354217,2025-06-06
ALLE,-0.0028573213977137746,0.018216436219611342,1.035,19.526686,7.445908,3.546,0.4449,0.16279,0.42051998,11963433984.0,Allegion,Industrials,SP500,48.6085770895838,1.0,0.7142476577831758,-1.7934113234152105,0.1664634413261487,0.9302020638302979,0.3658702074635263,0.6118888924435444,2025-06-06
LNT,0.006158778877575433,0.013170972603588935,0.576,20.831,2.187734,6.4,0.46493,0.18269,0.10712,15517853696.0,Alliant Energy,Utilities,SP500,43.60109463621446,1.0,-0.0737922342085966,-1.3069747574354813,0.20281417592201115,0.93218388437442,0.42370338793593154,0.6336460210127994,2025-06-06
ALL,0.0269931355387516,0.01817023885125721,0.345,14.223855,2.7498512,0.879,0.22642,0.061929997,0.19723,55107301376.0,Allstate,Financials,SP500,55.72091377810652,1.0,2.2787614284053177,2.8293480182975874,0.6501730109250063,0.9334157017367318,0.3938246389784549,0.5335645486165528,2025-06-06
GOOGL,-0.0033891444432422313,0.023626687801947942,1.014,19.366611,6.115772,5.489,0.58591,0.30857,0.34789002,2117055283200.0,Alphabet Inc. (Class A),Communication Services,SP500,61.67165910453592,1.0,2.740460026576102,1.8610686635704372,0.8414869933161536,0.9306606990480047,0.4065831752903585,0.5112789363207246,2025-06-06
GOOG,-0.005533528679541377,0.023406549034816607,1.014,19.52787,6.1666956,5.543,0.58591,0.30857,0.34789002,2114556788736.0,Alphabet Inc. (Class C),Communication Services,SP500,61.75842630912425,1.0,2.644099214538528,1.9944226187819745,0.8497663815268504,0.9306082043979049,0.4065831752903585,0.5096607188929094,2025-06-06
MO,0.0755445769535461,0.012734039052514601,0.643,9.967148,-28.532278,5.997,0.70849,0.5044,0.14659001,100063412224.0,Altria,Consumer Staples,SP500,51.922611259366946,1.0,0.37159427969814374,0.22698413954355764,0.5664034388868382,0.9480924744352246,0.5027784035758454,0.5767954017078603,2025-06-06
AMZN,-0.06294319412838734,0.024146372560543118,1.334,34.70623,7.381999,3.492,0.49158,0.1014,0.2524,2258630606848.0,Amazon,Consumer Discretionary,SP500,65.83438064735165,1.0,4.2140539085525575,4.8350525703207765,0.9484674318473753,0.9280004096741726,0.32506637846208697,0.4629361413171176,2025-06-06
AMCR,-0.09436661950025738,0.015208013332721258,0.733,16.258928,3.4152288,1.511,0.20004,0.059949998,0.20796,20862650368.0,Amcor,Materials,SP500,46.70791088497023,0.0,-0.07258857424658771,0.775201002973922,0.3886909441442362,0.9327473225861763,0.3479491159926283,0.5990073664564357,2025-06-06
AEE,0.06102805550361867,0.01282126232452237,0.505,21.282703,2.123327,6.014,0.49065,0.15929,0.10159001,26022684672.0,Ameren,Utilities,SP500,45.177250016095876,0.0,-0.4042253542261989,0.6498900495502776,0.3864032589562156,0.9321835730566023,0.4327662900406813,0.6081167173780451,2025-06-06
AEP,0.08157350024025734,0.013392031636304653,0.41,19.652512,1.9897581,5.004,0.47134,0.13712,0.10421,54381051904.0,American Electric Power,Utilities,SP500,43.83687879834018,0.0,-0.5738964688285932,-0.058944190755842146,0.4035470970189162,0.9325808317443064,0.4377670979481699,0.6214064659059122,2025-06-06
