Date,S&P500,CAC40,Nikkei225
2025-04-21,5158.2001953125,,34279.921875
2025-04-22,5287.759765625,7326.47021484375,34220.6015625
2025-04-23,5375.85986328125,7482.35986328125,34868.62890625
2025-04-24,5484.77001953125,7502.77978515625,35039.1484375
2025-04-25,5525.2099609375,7536.259765625,35705.73828125
2025-04-28,5528.75,7573.759765625,35839.98828125
2025-04-29,5560.830078125,7555.8701171875,
2025-04-30,5569.06005859375,7593.8701171875,36045.37890625
2025-05-01,5604.14013671875,,36452.30078125
2025-05-02,5686.669921875,7770.47998046875,36830.69140625
2025-05-05,5650.3798828125,7727.93017578125,
2025-05-06,5606.91015625,7696.919921875,
2025-05-07,5631.27978515625,7626.83984375,36779.66015625
2025-05-08,5663.93994140625,7694.43994140625,36928.62890625
2025-05-09,5659.91015625,7743.75,37503.328125
2025-05-12,5844.18994140625,7850.10009765625,37644.26171875
2025-05-13,5886.5498046875,7873.830078125,38183.26171875
2025-05-14,5892.580078125,7836.7900390625,38128.12890625
2025-05-15,5916.93017578125,7853.47021484375,37755.51171875
2025-05-16,5958.3798828125,7886.68994140625,37753.71875
2025-05-19,5963.60009765625,7883.6298828125,37498.62890625
2025-05-20,5940.4599609375,7942.419921875,37529.48828125
2025-05-21,,,37491.80078125
