ticker,name,sector,market_cap,CapType,PE,PB,ROE,ROA,ProfitMargin,GrossMargin,FCF_Margin,DividendYield,DebtEquity,CurrentRatio,QuickRatio,PriceToFCF,EV_Revenue,EV_EBITDA,Beta,Volatility,return_6m,RSI_14,Momentum_10,MACD,BB_Percent,SMA20_above_SMA50,sentiment_score,sentiment_label,positive_ratio,neutral_ratio,negative_ratio,bullet_positive_count,bullet_negative_count,recommendation,analyst_count,target_mean_price,current_price,percent_change,extraction_date
PUB.PA,PUBLICIS GROUPE SA,Communication Services,23822866432.0,BigCap,14.52519,2.1569293,0.16059999,0.03952,0.10356,0.43306,0.12797098937116116,3.79,48.786,0.912,0.881,11.613121301914527,1.584,9.342,0.815,0.0177604300401655,-0.088697337173267,55.12681921276789,-0.8338576520741711,0.8948784007692439,0.4064387244102712,1.0,-0.15,NEUTRAL,0.15,0.55,0.3,1.0,0.0,buy,14.0,108.53571,95.14,0.25,2025-06-06
VICI,Vici Properties,Real Estate,33212395520.0,BigCap,12.5720005,1.2481138,0.1012,0.04871,0.67811996,0.992,0.2740468224910397,5.5,65.738,21.505,21.502,31.27427804405925,13.158,14.599,0.724,0.0137588233081318,0.0207990387682397,46.359361516161535,0.7051259870987431,-0.0565700984264481,0.3297317407648487,0.0,0.1,POSITIVE,0.15,0.8,0.05,1.0,0.0,buy,23.0,36.11957,31.47,0.1,2025-06-06
COHR,,Technology,12373102592.0,SmallCap,15.77421325,2.3101926,0.01001,0.02017,0.01725,0.34479,0.09478706697423657,,48.288,2.472,1.269,23.345274770535557,3.317,18.024,1.857,0.0527776643065262,-0.2844300611044282,58.22759284398162,0.0502776731458345,2.9539439221215815,0.61766962209108,1.0,0.25,POSITIVE,0.4,0.45,0.15,0.0,0.0,buy,18.0,96.18556,79.74,0.18,2025-06-06
T,AT&T,Communication Services,201692725248.0,BigCap,17.18405,1.9427105,0.10885,0.041739997,0.096429996,0.59897,0.11724482480765785,4.0,119.246,0.704,0.444,14.013423833449776,2.897,8.047,0.604,0.0161872326700798,0.2004395241126404,56.36585166760097,2.882849286113647,0.1489334301073732,0.7951341119783396,1.0,-0.25,NEUTRAL,0.0,0.75,0.25,1.0,0.0,buy,26.0,29.25808,28.08,1.08,2025-06-06
STMPA.PA,STMICROELECTRONICS,Industrials,22326763520.0,BigCap,24.320389,1.2639385,0.063140005,0.027679998,0.08928,0.37473,-0.026245840130010845,1.33,17.228,3.051,2.154,-69.04294694288805,1.615,6.95,1.228,0.0310167395827648,0.0067284564180345,69.62186361960802,16.403339703570378,0.8735436231037852,1.024443151698784,1.0,-0.2,NEGATIVE,0.05,0.7,0.25,0.0,0.0,buy,21.0,23.72598,25.05,-0.56,2025-06-06
AXS,Axis Capital Holdings Limited,Financial Services,8399375360.0,SmallCap,10.594246,1.5691029,0.15435,0.02088,0.1454,0.29042,0.171734323550665,1.68,25.229,0.718,0.28,8.086287396650942,1.23,6.532,0.834,0.0174458032651533,0.161247387911235,68.6184279855443,7.07911092043788,1.976992723249765,1.0432869337170398,1.0,0.15,POSITIVE,0.15,0.85,0.0,0.0,0.0,none,8.0,113.25,106.93,1.76,2025-06-06
PHM,PulteGroup,Consumer Discretionary,20211058688.0,BigCap,7.1214685,1.6441661,0.25522,0.13892001,0.16451,0.28603,0.042564872155965626,0.87,17.795,6.989,0.578,26.50543631367439,1.192,5.534,1.297,0.0222750156370599,-0.2016693230778226,50.42157192805141,2.180971278093051,-0.3675871054329036,0.4735877776270831,1.0,-0.1,POSITIVE,0.15,0.6,0.25,0.0,0.0,buy,14.0,123.57714,100.23,-1.39,2025-06-06
ADM,Archer Daniels Midland,Consumer Staples,22561931264.0,BigCap,16.535212,1.019075,0.05888,0.01791,0.01629,0.06319,0.001134358110953794,4.32,55.504,1.382,0.362,237.2829485413929,0.411,13.213,0.656,0.0190925821975552,-0.0822056239703583,42.85565419288531,-2.598345937761989,-0.0094425093173597,0.1065012420110488,1.0,-0.4,NEGATIVE,0.1,0.4,0.5,0.0,0.0,none,11.0,49.27273,47.42,0.85,2025-06-06
DAVE,Dave Inc.,Technology,2938623232.0,SmallCap,61.876404,12.95079,0.32097,0.14594,0.13748999,0.63362,-0.032458872018538316,,37.836,8.592,2.533,-238.36950008581957,7.256,42.612,3.947,0.0601373140420013,1.395128801299942,77.40144167728842,10.776963549412924,23.618175034281364,0.9042950401912532,1.0,0.4,POSITIVE,0.45,0.5,0.05,0.0,0.0,strong_buy,8.0,201.5,221.55,5.92,2025-06-06
FSUN,FirstSun Capital Bancorp,Financial Services,967767360.0,SmallCap,11.325733,0.9033046,0.085489996,0.01086,0.23208,0.0,,,,,,,1.268,,0.349,0.0198655425885482,-0.1419052303810696,40.48858297642824,-2.331455202057879,-0.2827911466058097,0.1064445570840776,1.0,0.1,POSITIVE,0.2,0.7,0.1,0.0,0.0,none,4.0,43.75,34.89,0.98,2025-06-06
CS.PA,AXA,Industrials,92929695744.0,BigCap,13.141539,1.8603536,0.124680005,0.01006,0.08642,0.1449,0.05482439288709412,5.06,102.502,1.93,1.264,18.57479498508108,1.068,8.365,1.093,0.0137974319229743,0.3233933768453174,71.18899176461161,4.247004666649286,0.8062362182270277,1.0070600483607528,1.0,,NEUTRAL,0.05,0.9,0.05,0.0,0.0,buy,17.0,43.11,42.71,0.49,2025-06-06
CAVA,"CAVA Group, Inc.",Consumer Cyclical,9064274944.0,SmallCap,65.308334,12.481288,0.21733999,0.03095,0.13703,0.3751,0.01084637448761496,,56.803,3.001,2.869,813.237412437042,8.782,76.399,0.998,0.0402770735958071,-0.4805805924552329,31.71185291734949,-7.100518990554057,-3.309702612400202,0.2021945152692361,0.0,-0.15,NEGATIVE,0.15,0.55,0.3,0.0,0.0,buy,14.0,116.58857,79.03,0.89,2025-06-06
PAYX,Paychex,Industrials,57637765120.0,BigCap,33.268192,14.001225,0.44254002,0.11643,0.31988,0.72025,0.21288722266508647,2.71,20.981,1.393,0.598,49.692672,10.414,23.332,0.911,0.0153688960440214,0.1355706461035961,68.48870911581612,2.404280355299816,2.8093297449137538,0.826699097630334,1.0,0.05,POSITIVE,0.2,0.65,0.15,0.0,0.0,hold,15.0,147.42532,159.78,0.3,2025-06-06
BNS,Bank Nova Scotia Halifax Pfd 3,Financial Services,67093172224.0,SmallCap,15.478449,0.79007584,0.07908,0.00471,0.22761999,0.0,,5.97,,,,,-2.445,,1.209,0.0113477835828458,-0.0341581273742249,76.66660138695556,4.3490949109557855,1.112507532081139,0.8765418145548,1.0,0.1,POSITIVE,0.3,0.5,0.2,0.0,0.0,hold,3.0,54.59577,53.9,0.5,2025-06-06
APD,Air Products,Materials,61693648896.0,BigCap,39.88777,4.1958528,0.095790006,0.047020003,0.12755,0.31947002,-0.33181511317224305,2.56,98.527,0.996,0.77,-15.41150646724684,6.602,18.436,0.873,0.0181931879614283,-0.1284112964106524,51.95441966031049,2.5994656057394363,1.426584962442064,0.6243124025415839,1.0,-0.15,NEGATIVE,0.1,0.65,0.25,0.0,0.0,buy,23.0,317.93304,279.78,1.17,2025-06-06
ANET,Arista Networks,Information Technology,119877558272.0,BigCap,40.27426,11.852725,0.33681,0.15675001,0.4072,0.64088994,0.41107806504098177,,,3.933,3.071,39.10318262248763,14.938,34.86,1.379,0.0404049999956859,-0.106524428416741,59.94606067002924,3.0185014673976074,2.175258102649593,0.6664558160563724,1.0,0.05,NEGATIVE,0.25,0.55,0.2,0.0,0.0,buy,24.0,106.005,97.25,2.2,2025-06-06
ATAT,Atour Lifestyle Holdings Limite,Consumer Cyclical,4283766016.0,SmallCap,24.603174,1.2954991,0.44867,0.14077,0.16406,0.42786,0.1587869779123489,1.34,53.586,2.288,2.09,3.514806560909538,1.271,5.699,0.843,0.0312764553544256,0.1861645007920691,60.661385398845205,-4.377677898725905,1.2068386376113338,0.6328506764377767,1.0,-0.1,POSITIVE,0.1,0.7,0.2,0.0,0.0,strong_buy,14.0,38.40904,31.03,-0.74,2025-06-06
LX,LexinFintech Holdings Ltd.,Financial Services,1225803264.0,SmallCap,6.8084106,0.10986774,0.12571,0.05994,0.0945,0.40741003,,2.44,48.172,1.853,1.314,,0.338,2.053,0.452,0.0533880726797057,0.3332984250974855,41.04893408059385,-5.756793927080927,-0.2793038197425916,0.2623105030745407,0.0,0.15,NEUTRAL,0.4,0.35,0.25,0.0,0.0,strong_buy,5.0,11.529639,7.31,-2.01,2025-06-06
HO.PA,THALES,Consumer Staples,53719420928.0,BigCap,53.586063,7.144028,0.12835,0.02802,0.06899,0.26117,0.16874264967003638,1.36,103.51,0.83,0.597,15.4715149634825,2.871,21.95,0.562,0.0249701433087948,0.8651489786754156,53.55448763450459,1.7509727626459144,6.772262741045154,0.5742669497553387,1.0,-0.273,NEGATIVE,0.09,0.55,0.36,3.0,0.0,buy,14.0,260.42856,261.5,-4.07,2025-06-06
SBUX,Starbucks,Consumer Discretionary,101514616832.0,BigCap,32.48364,-13.31495,0.317925,0.08979999,0.08609,0.25030002,0.05086794386271668,2.8,,0.644,0.399,55.01567122284691,3.353,20.119,0.99,0.0252175497594638,-0.0965226267080837,59.30875426321733,6.383232740777946,0.6022950440610799,0.9972769383368192,1.0,0.05,NEUTRAL,0.25,0.55,0.2,0.0,0.0,buy,29.0,91.11897,89.64,3.05,2025-06-06
GEHC,GE HealthCare,Health Care,32601868288.0,BigCap,14.958192,3.5483403,0.26444,0.05867,0.11026,0.42001998,0.07964417821397096,0.2,97.515,0.977,0.673,20.64856222770448,2.006,10.865,1.291,0.0271610307215709,-0.12275490726069,51.63717639322271,2.541761704484027,0.214325063358558,0.454998687561588,1.0,0.25,POSITIVE,0.4,0.45,0.15,1.0,0.0,buy,20.0,87.403,71.62,0.1,2025-06-06
PATH,"UiPath, Inc.",Technology,7054489600.0,SmallCap,15.86514,4.152756,-0.03624,-0.02318,-0.04652,0.82657,0.32512607485795575,,4.648,2.947,2.689,14.980157584431543,3.872,-63.417,1.056,0.0339475958356529,-0.1097231569181858,60.08106984782791,6.847651998218159,0.3375595608889927,0.7444296640786983,1.0,0.5,POSITIVE,0.6,0.3,0.1,0.0,0.0,hold,18.0,14.06444,13.21,-0.53,2025-06-06
IFS,Intercorp Financial Services In,Financial Services,4099326464.0,SmallCap,11.523886,0.37221238,0.15168001,0.01715,0.32784998,0.0,,2.83,,,,,2.792,,0.867,0.0153942651243058,0.2438982875038569,62.14957453257123,0.2910186721386283,0.4342947040282823,0.7785887224329172,1.0,0.15,POSITIVE,0.2,0.75,0.05,0.0,0.0,buy,2.0,42.50514,36.33,2.83,2025-06-06
5019.T,Idemitsu Kosan,Energy,1057966522368.0,BigCap,11.095556,0.6149639,0.05747,0.02071,0.01132,0.07502,0.03285925796869684,4.18,68.848,1.263,0.609,3.50338613384376,0.229,7.88,0.333,0.0205568891995426,-0.1450766705452127,45.713919957722005,0.8051370378135939,-10.118570886081898,0.4646082853840325,0.0,,NEGATIVE,0.0,1.0,0.0,0.0,0.0,buy,7.0,1058.5714,863.9,0.2,2025-06-06
TLK,"PT Telekomunikasi Indonesia, Tb",Communication Services,17186973696.0,SmallCap,12.041666,0.011597018,0.18236,0.08919,0.15689999,0.59679,0.15981938431619266,7.53,40.608,0.885,0.747,0.0007213042563054308,0.384,0.872,0.212,0.0231942932833886,0.0075538102865169,63.311390702670245,1.6412701958431202,0.4457802223346299,0.7720279139545067,1.0,0.15,POSITIVE,0.25,0.65,0.1,1.0,0.0,none,1.0,17.34143,17.35,-0.34,2025-06-06
9766.T,Konami,Consumer Discretionary,2675894910976.0,BigCap,35.860268,5.553347,0.16429001,0.105900005,0.17716,0.47182,0.08655941674480377,0.84,15.674,3.154,2.938,73.32499952859709,5.828,18.047,0.767,0.0268049786062457,0.3127955310646999,51.90670879870558,2.0418712845696563,181.2932864618888,0.6029902744293916,1.0,0.5,POSITIVE,0.5,0.5,0.0,0.0,0.0,buy,15.0,20520.666,19740.0,0.05,2025-06-06
NJR,NewJersey Resources Corporation,Utilities,4472576512.0,SmallCap,10.815535,2.0141025,0.17829001,0.05086,0.20029,0.40539002,-0.06582201216627544,4.03,,0.927,0.56,-32.851353623872996,3.381,,0.64,0.0127251946615178,-0.0767600847622466,33.86315139471402,-2.001319162045181,-0.7986041987254211,0.0330248615605608,0.0,,POSITIVE,0.15,0.7,0.15,0.0,0.0,buy,7.0,53.71429,44.72,0.18,2025-06-06
