ticker,name,sector,market_cap,CapType,PE,PB,ROE,ROA,ProfitMargin,GrossMargin,FCF_Margin,DividendYield,DebtEquity,CurrentRatio,QuickRatio,PriceToFCF,EV_Revenue,EV_EBITDA,Beta,Volatility,return_6m,RSI_14,Momentum_10,MACD,BB_Percent,SMA20_above_SMA50,sentiment_score,sentiment_label,positive_ratio,neutral_ratio,negative_ratio,bullet_positive_count,bullet_negative_count,recommendation,analyst_count,target_mean_price,current_price,percent_change,extraction_date
PUB.PA,PUBLICIS GROUPE SA,Communication Services,23762769920.0,BigCap,14.488549,2.1514883,0.16059999,0.03952,0.10356,0.43306,0.12797098937116116,3.84,48.786,0.912,0.881,11.58382557943419,1.568,9.246,0.815,0.0179853163678406,-0.0627160343123071,54.33075416366252,-1.8208173696980603,0.9314497143329704,0.403981795174849,1.0,-0.15,POSITIVE,0.15,0.55,0.3,0.0,0.0,buy,14.0,108.53571,94.9,1.11,2025-06-05
VICI,Vici Properties,Real Estate,33302214656.0,BigCap,12.606,1.2514892,0.1012,0.04871,0.67811996,0.992,0.2740468224910397,5.51,65.738,21.505,21.502,31.23951230945527,13.139,14.578,0.724,0.0137622944027401,0.023559680921704,46.89137395583545,0.3029314780151312,-0.0451931412283386,0.3525827404468708,0.0,0.3,POSITIVE,0.35,0.6,0.05,0.0,0.0,buy,23.0,36.11957,31.45,0.22,2025-06-05
COHR,,Technology,12373102592.0,SmallCap,15.77421325,2.3101926,0.01001,0.02017,0.01725,0.34479,0.09478706697423657,,48.288,2.472,1.269,23.345274770535557,3.317,18.024,1.857,0.0527776643065262,-0.2844300611044282,58.22759284398162,0.0502776731458345,2.9539439221215815,0.61766962209108,1.0,0.3,POSITIVE,0.4,0.5,0.1,0.0,0.0,buy,18.0,96.18556,79.65,-2.39,2025-06-05
T,AT&T,Communication Services,199928545280.0,BigCap,17.033743,1.9257178,0.10885,0.041739997,0.096429996,0.59897,0.11724482480765785,4.06,119.246,0.704,0.444,13.868544076605964,2.874,7.982,0.604,0.016174597014772,0.1924403270154751,54.29212422103448,1.2923242026161157,0.1306525766137696,0.7083946416177002,1.0,-0.3,POSITIVE,0.0,0.7,0.3,2.0,0.0,buy,26.0,29.25808,27.76,1.42,2025-06-05
STMPA.PA,STMICROELECTRONICS,Industrials,22451546112.0,BigCap,24.221155,1.2710025,0.063140005,0.027679998,0.08928,0.37473,-0.026245840130010845,1.34,17.228,3.051,2.154,-69.42882274934493,1.595,6.866,1.228,0.0310190729757771,0.0204945561914644,70.99509221149364,12.105034729959064,0.7681548580453672,1.1422222844720695,1.0,-0.2,POSITIVE,0.05,0.7,0.25,0.0,0.0,buy,21.0,23.636705,25.19,1.08,2025-06-05
AXS,,Financial Services,8264878592.0,SmallCap,10.424603,1.5439773,0.15435,0.02088,0.1454,0.29042,0.171734323550665,1.69,25.229,0.718,0.28,7.941821540621113,1.221,6.485,0.834,0.0174612295855434,0.1426526510149854,64.56322397449469,4.049909945341684,1.8270289632529144,0.9195300435025078,1.0,0.15,POSITIVE,0.15,0.85,0.0,0.0,0.0,none,8.0,113.25,105.0,0.65,2025-06-05
PHM,PulteGroup,Consumer Discretionary,20382425088.0,BigCap,7.1818504,1.6581067,0.25522,0.13892001,0.16451,0.28603,0.042564872155965626,0.86,17.795,6.989,0.578,26.751525738025553,1.194,5.546,1.297,0.0222757444530493,-0.2015114733813335,52.939631140319186,2.6538899327019645,-0.4464113432366048,0.5530010156621935,1.0,-0.1,POSITIVE,0.2,0.5,0.3,2.0,0.0,buy,14.0,123.57714,101.64,-0.21,2025-06-05
ADM,Archer Daniels Midland,Consumer Staples,22561931264.0,BigCap,16.535212,1.019075,0.05888,0.01791,0.01629,0.06319,0.001134358110953794,4.32,55.504,1.382,0.362,237.2829485413929,0.411,13.213,0.656,0.0190925821975552,-0.0822056239703583,42.85565419288531,-2.598345937761989,-0.0094425093173597,0.1065012420110488,1.0,-0.4,NEGATIVE,0.1,0.4,0.5,0.0,0.0,none,11.0,49.27273,46.98,-0.59,2025-06-05
DAVE,,Technology,2790411520.0,SmallCap,58.75562,12.297606,0.32097,0.14594,0.13748999,0.63362,-0.032458872018538316,,37.836,8.592,2.533,-225.38535170881923,7.182,42.178,3.947,0.0602495017753592,1.2743285353122251,73.89723737496334,7.986577937240134,23.78057385468875,0.7412871332592001,1.0,0.4,POSITIVE,0.45,0.5,0.05,0.0,0.0,strong_buy,8.0,201.5,209.17,1.02,2025-06-05
FSUN,,Financial Services,961643968.0,SmallCap,11.254071,0.8975891,0.085489996,0.01086,0.23208,0.0,,,,,,,1.293,,0.349,0.0199359770878156,-0.1473346780172424,37.89856534051239,-4.320136657222359,-0.2407165208084478,-0.0196039316897652,1.0,0.1,POSITIVE,0.2,0.7,0.1,1.0,0.0,none,4.0,43.75,34.55,-0.97,2025-06-05
