Ticker,Ticker_used,Company,message_count,positive_ratio,neutral_ratio,negative_ratio,Source
7267.T,HMC,Honda Motor,30,0.2,0.13,0.67,https://stocktwits.com/message/614958569 : 1.0 // https://stocktwits.com/message/614864434 : 1.0 // https://stocktwits.com/message/614729459 : 1.0 // https://stocktwits.com/message/614631311 : 1.0 // https://stocktwits.com/message/614631264 : 0.607 // https://stocktwits.com/message/614610190 : 1.0 // https://stocktwits.com/message/614606876 : 0.971 // https://stocktwits.com/message/614500050 : 0.973 // https://stocktwits.com/message/614418946 : 1.0 // https://stocktwits.com/message/614418279 : 1.0 // https://stocktwits.com/message/614414937 : 1.0 // https://stocktwits.com/message/614407549 : 1.0 // https://stocktwits.com/message/614406655 : 1.0 // https://stocktwits.com/message/614406494 : 0.491 // https://stocktwits.com/message/614406279 : 0.998 // https://stocktwits.com/message/614401615 : 1.0 // https://stocktwits.com/message/614351942 : 1.0 // https://stocktwits.com/message/614261010 : 1.0 // https://stocktwits.com/message/614055528 : 0.997 // https://stocktwits.com/message/613631443 : 1.0 // https://stocktwits.com/message/613211889 : 1.0 // https://stocktwits.com/message/613203882 : 1.0 // https://stocktwits.com/message/613007602 : 1.0 // https://stocktwits.com/message/612947639 : 1.0 // https://stocktwits.com/message/612929920 : 0.999 // https://stocktwits.com/message/612592951 : 0.979 // https://stocktwits.com/message/612531843 : 1.0 // https://stocktwits.com/message/612524709 : 1.0 // https://stocktwits.com/message/612392887 : 1.0 // https://stocktwits.com/message/611923985 : 1.0
7203.T,TM,Toyota Motor,30,0.07,0.13,0.8,https://stocktwits.com/message/615006365 : 1.0 // https://stocktwits.com/message/614939667 : 0.99 // https://stocktwits.com/message/614855545 : 1.0 // https://stocktwits.com/message/614802898 : 0.887 // https://stocktwits.com/message/614782621 : 1.0 // https://stocktwits.com/message/614773557 : 1.0 // https://stocktwits.com/message/614772467 : 1.0 // https://stocktwits.com/message/614729180 : 1.0 // https://stocktwits.com/message/614702110 : 1.0 // https://stocktwits.com/message/614635543 : 0.984 // https://stocktwits.com/message/614631269 : 0.978 // https://stocktwits.com/message/614618153 : 0.828 // https://stocktwits.com/message/614610190 : 1.0 // https://stocktwits.com/message/614586729 : 1.0 // https://stocktwits.com/message/614557717 : 1.0 // https://stocktwits.com/message/614480813 : 1.0 // https://stocktwits.com/message/614472891 : 0.943 // https://stocktwits.com/message/614454056 : 0.587 // https://stocktwits.com/message/614426427 : 1.0 // https://stocktwits.com/message/614321155 : 0.999 // https://stocktwits.com/message/614270139 : 1.0 // https://stocktwits.com/message/614261010 : 1.0 // https://stocktwits.com/message/614203005 : 1.0 // https://stocktwits.com/message/614129534 : 0.999 // https://stocktwits.com/message/614071662 : 0.977 // https://stocktwits.com/message/614068657 : 1.0 // https://stocktwits.com/message/614055528 : 0.997 // https://stocktwits.com/message/614032051 : 0.994 // https://stocktwits.com/message/613990233 : 1.0 // https://stocktwits.com/message/613978770 : 0.999
8306.T,MUFG,Mitsubishi UFJ Financial Group,30,0.0,0.13,0.87,https://stocktwits.com/message/613764419 : 1.0 // https://stocktwits.com/message/612260504 : 1.0 // https://stocktwits.com/message/612111033 : 1.0 // https://stocktwits.com/message/611467876 : 1.0 // https://stocktwits.com/message/610763766 : 1.0 // https://stocktwits.com/message/610038079 : 0.996 // https://stocktwits.com/message/609804428 : 1.0 // https://stocktwits.com/message/609321830 : 0.998 // https://stocktwits.com/message/608880437 : 1.0 // https://stocktwits.com/message/608841460 : 0.977 // https://stocktwits.com/message/608494626 : 1.0 // https://stocktwits.com/message/608450339 : 1.0 // https://stocktwits.com/message/608254080 : 0.983 // https://stocktwits.com/message/608199942 : 1.0 // https://stocktwits.com/message/608121239 : 0.999 // https://stocktwits.com/message/607230500 : 1.0 // https://stocktwits.com/message/605369869 : 1.0 // https://stocktwits.com/message/602760859 : 1.0 // https://stocktwits.com/message/600651612 : 1.0 // https://stocktwits.com/message/591675611 : 0.962 // https://stocktwits.com/message/589837752 : 1.0 // https://stocktwits.com/message/589395189 : 0.999 // https://stocktwits.com/message/589222107 : 0.999 // https://stocktwits.com/message/588822436 : 0.994 // https://stocktwits.com/message/588343826 : 1.0 // https://stocktwits.com/message/586749664 : 0.998 // https://stocktwits.com/message/586627655 : 1.0 // https://stocktwits.com/message/586234122 : 0.999 // https://stocktwits.com/message/583769027 : 1.0 // https://stocktwits.com/message/583488549 : 1.0
8411.T,MFG,Mizuho Financial Group,30,0.03,0.2,0.77,https://stocktwits.com/message/614712235 : 1.0 // https://stocktwits.com/message/614525169 : 0.866 // https://stocktwits.com/message/614466945 : 1.0 // https://stocktwits.com/message/614027224 : 1.0 // https://stocktwits.com/message/614027216 : 1.0 // https://stocktwits.com/message/612531568 : 1.0 // https://stocktwits.com/message/611131387 : 1.0 // https://stocktwits.com/message/611109969 : 1.0 // https://stocktwits.com/message/611109134 : 1.0 // https://stocktwits.com/message/607661058 : 1.0 // https://stocktwits.com/message/607230500 : 1.0 // https://stocktwits.com/message/604483054 : 1.0 // https://stocktwits.com/message/604080083 : 1.0 // https://stocktwits.com/message/602574703 : 1.0 // https://stocktwits.com/message/602100715 : 0.978 // https://stocktwits.com/message/600485453 : 0.985 // https://stocktwits.com/message/600416115 : 1.0 // https://stocktwits.com/message/599904258 : 1.0 // https://stocktwits.com/message/599481345 : 0.998 // https://stocktwits.com/message/599079069 : 1.0 // https://stocktwits.com/message/597694352 : 1.0 // https://stocktwits.com/message/593940465 : 0.999 // https://stocktwits.com/message/592505343 : 1.0 // https://stocktwits.com/message/592297675 : 0.999 // https://stocktwits.com/message/589338821 : 1.0 // https://stocktwits.com/message/589267629 : 1.0 // https://stocktwits.com/message/587973049 : 1.0 // https://stocktwits.com/message/586944590 : 1.0 // https://stocktwits.com/message/586653797 : 1.0 // https://stocktwits.com/message/586640585 : 1.0
8316.T,SMFG,Sumitomo Mitsui Financial Group,30,0.07,0.13,0.8,https://stocktwits.com/message/611660209 : 1.0 // https://stocktwits.com/message/608919952 : 0.973 // https://stocktwits.com/message/608841460 : 0.977 // https://stocktwits.com/message/608254080 : 0.983 // https://stocktwits.com/message/607230500 : 1.0 // https://stocktwits.com/message/605369869 : 1.0 // https://stocktwits.com/message/603965358 : 1.0 // https://stocktwits.com/message/603671748 : 1.0 // https://stocktwits.com/message/603558318 : 1.0 // https://stocktwits.com/message/602414372 : 1.0 // https://stocktwits.com/message/602412035 : 1.0 // https://stocktwits.com/message/602099396 : 1.0 // https://stocktwits.com/message/601710983 : 1.0 // https://stocktwits.com/message/601689921 : 0.91 // https://stocktwits.com/message/601509603 : 0.579 // https://stocktwits.com/message/601413870 : 1.0 // https://stocktwits.com/message/601351010 : 1.0 // https://stocktwits.com/message/601207056 : 0.766 // https://stocktwits.com/message/600924337 : 1.0 // https://stocktwits.com/message/600763867 : 0.998 // https://stocktwits.com/message/600087263 : 1.0 // https://stocktwits.com/message/599738071 : 0.998 // https://stocktwits.com/message/599725313 : 0.993 // https://stocktwits.com/message/598951568 : 1.0 // https://stocktwits.com/message/598951223 : 1.0 // https://stocktwits.com/message/598471063 : 1.0 // https://stocktwits.com/message/598434470 : 1.0 // https://stocktwits.com/message/598301358 : 1.0 // https://stocktwits.com/message/597578338 : 0.998 // https://stocktwits.com/message/597578218 : 1.0
3407.T,ahi,Asahi Kasei,30,0.07,0.07,0.87,https://stocktwits.com/message/614068342 : 1.0 // https://stocktwits.com/message/613873332 : 0.997 // https://stocktwits.com/message/611214561 : 1.0 // https://stocktwits.com/message/610356364 : 0.905 // https://stocktwits.com/message/609016863 : 0.464 // https://stocktwits.com/message/604539258 : 0.683 // https://stocktwits.com/message/604491697 : 1.0 // https://stocktwits.com/message/602729560 : 0.992 // https://stocktwits.com/message/601299624 : 0.999 // https://stocktwits.com/message/601166829 : 1.0 // https://stocktwits.com/message/600387145 : 1.0 // https://stocktwits.com/message/599771722 : 0.998 // https://stocktwits.com/message/599555853 : 0.604 // https://stocktwits.com/message/599550159 : 1.0 // https://stocktwits.com/message/597617075 : 0.999 // https://stocktwits.com/message/597136921 : 1.0 // https://stocktwits.com/message/597017498 : 1.0 // https://stocktwits.com/message/595898265 : 1.0 // https://stocktwits.com/message/595705715 : 1.0 // https://stocktwits.com/message/594455407 : 1.0 // https://stocktwits.com/message/594118593 : 1.0 // https://stocktwits.com/message/593784753 : 0.999 // https://stocktwits.com/message/593101732 : 0.997 // https://stocktwits.com/message/592499138 : 1.0 // https://stocktwits.com/message/590257750 : 1.0 // https://stocktwits.com/message/587886082 : 1.0 // https://stocktwits.com/message/587865890 : 1.0 // https://stocktwits.com/message/587749334 : 1.0 // https://stocktwits.com/message/587562076 : 1.0 // https://stocktwits.com/message/586855565 : 1.0
4901.T,FUJIY,Fujifilm Holdings,30,0.0,0.03,0.97,https://stocktwits.com/message/34694035 : 1.0 // https://stocktwits.com/message/34083056 : 1.0 // https://stocktwits.com/message/33162990 : 0.996 // https://stocktwits.com/message/31900765 : 1.0 // https://stocktwits.com/message/31040380 : 1.0 // https://stocktwits.com/message/29989135 : 1.0 // https://stocktwits.com/message/29971911 : 1.0 // https://stocktwits.com/message/29955555 : 1.0 // https://stocktwits.com/message/29089148 : 0.856 // https://stocktwits.com/message/29082262 : 1.0 // https://stocktwits.com/message/29072471 : 1.0 // https://stocktwits.com/message/28805032 : 1.0 // https://stocktwits.com/message/28461040 : 0.825 // https://stocktwits.com/message/28446685 : 0.969 // https://stocktwits.com/message/28236845 : 1.0 // https://stocktwits.com/message/28222931 : 1.0 // https://stocktwits.com/message/28218774 : 1.0 // https://stocktwits.com/message/27865477 : 0.748 // https://stocktwits.com/message/27795757 : 1.0 // https://stocktwits.com/message/27735751 : 1.0 // https://stocktwits.com/message/27587879 : 1.0 // https://stocktwits.com/message/27573251 : 1.0 // https://stocktwits.com/message/27557232 : 0.997 // https://stocktwits.com/message/27397240 : 1.0 // https://stocktwits.com/message/26467053 : 0.999 // https://stocktwits.com/message/26372455 : 1.0 // https://stocktwits.com/message/26268476 : 1.0 // https://stocktwits.com/message/25828699 : 1.0 // https://stocktwits.com/message/25756690 : 0.999 // https://stocktwits.com/message/25721245 : 1.0
4021.T,nisn,Nissan Chemical Industries,30,0.03,0.23,0.73,https://stocktwits.com/message/614915535 : 0.507 // https://stocktwits.com/message/614864237 : 0.592 // https://stocktwits.com/message/614856372 : 0.845 // https://stocktwits.com/message/614854552 : 1.0 // https://stocktwits.com/message/614833476 : 0.904 // https://stocktwits.com/message/614807061 : 1.0 // https://stocktwits.com/message/614805134 : 1.0 // https://stocktwits.com/message/614804736 : 1.0 // https://stocktwits.com/message/614791914 : 0.916 // https://stocktwits.com/message/614763650 : 0.999 // https://stocktwits.com/message/614763273 : 1.0 // https://stocktwits.com/message/614760752 : 0.999 // https://stocktwits.com/message/614760420 : 0.992 // https://stocktwits.com/message/614758589 : 0.945 // https://stocktwits.com/message/614726256 : 1.0 // https://stocktwits.com/message/614652780 : 0.994 // https://stocktwits.com/message/614580523 : 0.997 // https://stocktwits.com/message/614504342 : 0.999 // https://stocktwits.com/message/614486255 : 0.998 // https://stocktwits.com/message/614476377 : 0.979 // https://stocktwits.com/message/614474501 : 1.0 // https://stocktwits.com/message/614473323 : 0.999 // https://stocktwits.com/message/614464060 : 1.0 // https://stocktwits.com/message/614454673 : 0.998 // https://stocktwits.com/message/614405989 : 0.999 // https://stocktwits.com/message/614404679 : 1.0 // https://stocktwits.com/message/614402520 : 1.0 // https://stocktwits.com/message/614381588 : 0.999 // https://stocktwits.com/message/614366205 : 0.552 // https://stocktwits.com/message/614328976 : 0.999
9613.T,ntt,NTT Data,18,0.11,0.28,0.61,https://stocktwits.com/message/602117497 : 1.0 // https://stocktwits.com/message/600997456 : 1.0 // https://stocktwits.com/message/588837899 : 1.0 // https://stocktwits.com/message/588759133 : 0.911 // https://stocktwits.com/message/588758488 : 1.0 // https://stocktwits.com/message/588758458 : 1.0 // https://stocktwits.com/message/563012320 : 1.0 // https://stocktwits.com/message/546315724 : 1.0 // https://stocktwits.com/message/491186022 : 1.0 // https://stocktwits.com/message/378735808 : 0.64 // https://stocktwits.com/message/171665686 : 0.993 // https://stocktwits.com/message/168392782 : 0.999 // https://stocktwits.com/message/132965255 : 1.0 // https://stocktwits.com/message/112376871 : 1.0 // https://stocktwits.com/message/110551786 : 1.0 // https://stocktwits.com/message/90973906 : 1.0 // https://stocktwits.com/message/88275943 : 0.509 // https://stocktwits.com/message/88187125 : 1.0
9984.T,SFTBY,SoftBank Group,30,0.07,0.1,0.83,https://stocktwits.com/message/614548928 : 0.999 // https://stocktwits.com/message/614548883 : 1.0 // https://stocktwits.com/message/614502013 : 0.998 // https://stocktwits.com/message/614445169 : 0.941 // https://stocktwits.com/message/614416426 : 0.966 // https://stocktwits.com/message/614352090 : 0.999 // https://stocktwits.com/message/614264795 : 0.988 // https://stocktwits.com/message/613361716 : 1.0 // https://stocktwits.com/message/613212873 : 0.97 // https://stocktwits.com/message/613174131 : 0.995 // https://stocktwits.com/message/612943247 : 0.992 // https://stocktwits.com/message/612729013 : 0.999 // https://stocktwits.com/message/612698936 : 1.0 // https://stocktwits.com/message/612537008 : 1.0 // https://stocktwits.com/message/612526079 : 0.91 // https://stocktwits.com/message/612475473 : 0.996 // https://stocktwits.com/message/612454666 : 1.0 // https://stocktwits.com/message/612445407 : 1.0 // https://stocktwits.com/message/612421807 : 1.0 // https://stocktwits.com/message/612420501 : 1.0 // https://stocktwits.com/message/612065504 : 1.0 // https://stocktwits.com/message/611552147 : 1.0 // https://stocktwits.com/message/611316024 : 1.0 // https://stocktwits.com/message/610823121 : 1.0 // https://stocktwits.com/message/610763843 : 1.0 // https://stocktwits.com/message/610468913 : 0.981 // https://stocktwits.com/message/610448823 : 0.662 // https://stocktwits.com/message/610212432 : 1.0 // https://stocktwits.com/message/610029984 : 1.0 // https://stocktwits.com/message/609892722 : 1.0
