Ticker,Company,message_count,positive_ratio,neutral_ratio,negative_ratio,Source
MMM,3M,30,0.1,0.23,0.67,https://stocktwits.com/message/614988272 : 1.0 // https://stocktwits.com/message/614930426 : 0.989 // https://stocktwits.com/message/614908818 : 0.861 // https://stocktwits.com/message/614809768 : 0.999 // https://stocktwits.com/message/614514668 : 0.774 // https://stocktwits.com/message/614339600 : 0.996 // https://stocktwits.com/message/614241880 : 1.0 // https://stocktwits.com/message/614168685 : 1.0 // https://stocktwits.com/message/613997514 : 1.0 // https://stocktwits.com/message/613990838 : 1.0 // https://stocktwits.com/message/613531555 : 0.992 // https://stocktwits.com/message/613453597 : 1.0 // https://stocktwits.com/message/613196704 : 0.976 // https://stocktwits.com/message/613194100 : 0.945 // https://stocktwits.com/message/613079010 : 1.0 // https://stocktwits.com/message/612956985 : 1.0 // https://stocktwits.com/message/612835184 : 0.719 // https://stocktwits.com/message/612789767 : 1.0 // https://stocktwits.com/message/612776220 : 1.0 // https://stocktwits.com/message/612763634 : 1.0 // https://stocktwits.com/message/612705158 : 0.974 // https://stocktwits.com/message/612542577 : 0.625 // https://stocktwits.com/message/612542259 : 0.965 // https://stocktwits.com/message/612541758 : 0.986 // https://stocktwits.com/message/612523783 : 0.994 // https://stocktwits.com/message/612485158 : 0.995 // https://stocktwits.com/message/612480080 : 1.0 // https://stocktwits.com/message/612463630 : 0.997 // https://stocktwits.com/message/612457277 : 1.0 // https://stocktwits.com/message/612452432 : 0.984
AOS,A. O. Smith,30,0.1,0.3,0.6,https://stocktwits.com/message/614659608 : 0.986 // https://stocktwits.com/message/613196704 : 0.976 // https://stocktwits.com/message/613133042 : 0.987 // https://stocktwits.com/message/613108772 : 0.761 // https://stocktwits.com/message/613103453 : 1.0 // https://stocktwits.com/message/613075394 : 1.0 // https://stocktwits.com/message/612987240 : 0.997 // https://stocktwits.com/message/612984077 : 1.0 // https://stocktwits.com/message/612966747 : 1.0 // https://stocktwits.com/message/612955492 : 0.947 // https://stocktwits.com/message/612532883 : 1.0 // https://stocktwits.com/message/612131145 : 1.0 // https://stocktwits.com/message/611805690 : 0.998 // https://stocktwits.com/message/611622177 : 0.923 // https://stocktwits.com/message/611340733 : 1.0 // https://stocktwits.com/message/611204983 : 0.952 // https://stocktwits.com/message/611178945 : 1.0 // https://stocktwits.com/message/610546052 : 0.998 // https://stocktwits.com/message/610258048 : 1.0 // https://stocktwits.com/message/610203917 : 1.0 // https://stocktwits.com/message/609963465 : 1.0 // https://stocktwits.com/message/609788782 : 1.0 // https://stocktwits.com/message/609684458 : 1.0 // https://stocktwits.com/message/609499442 : 0.999 // https://stocktwits.com/message/609369997 : 0.964 // https://stocktwits.com/message/608964897 : 0.976 // https://stocktwits.com/message/608907947 : 0.983 // https://stocktwits.com/message/608433392 : 0.993 // https://stocktwits.com/message/608282780 : 1.0 // https://stocktwits.com/message/608233095 : 1.0
ABT,Abbott Laboratories,30,0.03,0.47,0.5,https://stocktwits.com/message/615012291 : 0.995 // https://stocktwits.com/message/614990309 : 0.991 // https://stocktwits.com/message/614988092 : 0.642 // https://stocktwits.com/message/614966940 : 1.0 // https://stocktwits.com/message/614939133 : 0.998 // https://stocktwits.com/message/614923931 : 1.0 // https://stocktwits.com/message/614906406 : 0.962 // https://stocktwits.com/message/614896487 : 0.982 // https://stocktwits.com/message/614878760 : 0.785 // https://stocktwits.com/message/614874682 : 0.999 // https://stocktwits.com/message/614864614 : 1.0 // https://stocktwits.com/message/614854074 : 1.0 // https://stocktwits.com/message/614854041 : 0.998 // https://stocktwits.com/message/614853958 : 0.923 // https://stocktwits.com/message/614852966 : 0.998 // https://stocktwits.com/message/614847520 : 0.984 // https://stocktwits.com/message/614843816 : 0.999 // https://stocktwits.com/message/614834896 : 0.897 // https://stocktwits.com/message/614832347 : 1.0 // https://stocktwits.com/message/614831952 : 1.0 // https://stocktwits.com/message/614830138 : 1.0 // https://stocktwits.com/message/614829299 : 0.826 // https://stocktwits.com/message/614823731 : 1.0 // https://stocktwits.com/message/614823363 : 0.997 // https://stocktwits.com/message/614815523 : 1.0 // https://stocktwits.com/message/614815366 : 1.0 // https://stocktwits.com/message/614804120 : 0.957 // https://stocktwits.com/message/614775603 : 1.0 // https://stocktwits.com/message/614752238 : 1.0 // https://stocktwits.com/message/614740351 : 1.0
ABBV,AbbVie,30,0.13,0.3,0.57,https://stocktwits.com/message/615000214 : 1.0 // https://stocktwits.com/message/614996478 : 1.0 // https://stocktwits.com/message/614982845 : 1.0 // https://stocktwits.com/message/614942508 : 0.999 // https://stocktwits.com/message/614941638 : 1.0 // https://stocktwits.com/message/614879963 : 0.461 // https://stocktwits.com/message/614861654 : 1.0 // https://stocktwits.com/message/614849574 : 0.843 // https://stocktwits.com/message/614828381 : 1.0 // https://stocktwits.com/message/614825807 : 1.0 // https://stocktwits.com/message/614820154 : 0.744 // https://stocktwits.com/message/614819962 : 1.0 // https://stocktwits.com/message/614814925 : 0.994 // https://stocktwits.com/message/614805082 : 1.0 // https://stocktwits.com/message/614804404 : 0.998 // https://stocktwits.com/message/614796240 : 1.0 // https://stocktwits.com/message/614789939 : 1.0 // https://stocktwits.com/message/614787744 : 1.0 // https://stocktwits.com/message/614760398 : 0.929 // https://stocktwits.com/message/614758962 : 0.996 // https://stocktwits.com/message/614757965 : 0.999 // https://stocktwits.com/message/614754883 : 0.521 // https://stocktwits.com/message/614752066 : 0.96 // https://stocktwits.com/message/614733765 : 0.86 // https://stocktwits.com/message/614731210 : 1.0 // https://stocktwits.com/message/614729172 : 1.0 // https://stocktwits.com/message/614721429 : 0.735 // https://stocktwits.com/message/614714410 : 1.0 // https://stocktwits.com/message/614713516 : 1.0 // https://stocktwits.com/message/614709099 : 0.941
ACN,Accenture,30,0.07,0.27,0.67,https://stocktwits.com/message/614987129 : 1.0 // https://stocktwits.com/message/614877959 : 1.0 // https://stocktwits.com/message/614818078 : 1.0 // https://stocktwits.com/message/614776844 : 1.0 // https://stocktwits.com/message/614727400 : 1.0 // https://stocktwits.com/message/614612783 : 0.999 // https://stocktwits.com/message/614399665 : 1.0 // https://stocktwits.com/message/614243713 : 1.0 // https://stocktwits.com/message/613644417 : 1.0 // https://stocktwits.com/message/613631396 : 0.999 // https://stocktwits.com/message/613601888 : 1.0 // https://stocktwits.com/message/613455767 : 1.0 // https://stocktwits.com/message/613061098 : 1.0 // https://stocktwits.com/message/612913313 : 1.0 // https://stocktwits.com/message/612845926 : 1.0 // https://stocktwits.com/message/612815114 : 0.999 // https://stocktwits.com/message/612760601 : 0.93 // https://stocktwits.com/message/612649897 : 0.768 // https://stocktwits.com/message/612534615 : 0.998 // https://stocktwits.com/message/612463530 : 1.0 // https://stocktwits.com/message/612400719 : 1.0 // https://stocktwits.com/message/612345096 : 0.995 // https://stocktwits.com/message/612242104 : 0.935 // https://stocktwits.com/message/612238959 : 0.999 // https://stocktwits.com/message/612238895 : 0.997 // https://stocktwits.com/message/612036935 : 0.996 // https://stocktwits.com/message/611918634 : 1.0 // https://stocktwits.com/message/611829742 : 1.0 // https://stocktwits.com/message/611822938 : 0.998 // https://stocktwits.com/message/611542318 : 1.0
ADBE,Adobe Inc.,30,0.13,0.27,0.6,https://stocktwits.com/message/615011638 : 1.0 // https://stocktwits.com/message/615003158 : 1.0 // https://stocktwits.com/message/614985264 : 0.996 // https://stocktwits.com/message/614978426 : 1.0 // https://stocktwits.com/message/614959760 : 0.93 // https://stocktwits.com/message/614916273 : 1.0 // https://stocktwits.com/message/614914722 : 1.0 // https://stocktwits.com/message/614909841 : 1.0 // https://stocktwits.com/message/614898228 : 1.0 // https://stocktwits.com/message/614893692 : 1.0 // https://stocktwits.com/message/614892284 : 1.0 // https://stocktwits.com/message/614892074 : 0.881 // https://stocktwits.com/message/614891895 : 1.0 // https://stocktwits.com/message/614891558 : 1.0 // https://stocktwits.com/message/614887611 : 1.0 // https://stocktwits.com/message/614887430 : 1.0 // https://stocktwits.com/message/614886765 : 1.0 // https://stocktwits.com/message/614886656 : 0.999 // https://stocktwits.com/message/614885300 : 1.0 // https://stocktwits.com/message/614885180 : 1.0 // https://stocktwits.com/message/614883907 : 0.526 // https://stocktwits.com/message/614883150 : 1.0 // https://stocktwits.com/message/614879503 : 0.985 // https://stocktwits.com/message/614879041 : 1.0 // https://stocktwits.com/message/614876685 : 1.0 // https://stocktwits.com/message/614870573 : 1.0 // https://stocktwits.com/message/614865167 : 1.0 // https://stocktwits.com/message/614864017 : 1.0 // https://stocktwits.com/message/614863573 : 0.496 // https://stocktwits.com/message/614856211 : 1.0
AMD,Advanced Micro Devices,30,0.07,0.13,0.8,https://stocktwits.com/message/615011547 : 0.998 // https://stocktwits.com/message/615010964 : 1.0 // https://stocktwits.com/message/615010004 : 0.996 // https://stocktwits.com/message/615009356 : 1.0 // https://stocktwits.com/message/615008564 : 0.999 // https://stocktwits.com/message/615008041 : 0.608 // https://stocktwits.com/message/615007869 : 0.999 // https://stocktwits.com/message/615007736 : 0.842 // https://stocktwits.com/message/615007694 : 0.993 // https://stocktwits.com/message/615003796 : 0.998 // https://stocktwits.com/message/615003437 : 1.0 // https://stocktwits.com/message/615003132 : 1.0 // https://stocktwits.com/message/615002547 : 0.986 // https://stocktwits.com/message/615002308 : 0.717 // https://stocktwits.com/message/615001761 : 1.0 // https://stocktwits.com/message/615001164 : 0.954 // https://stocktwits.com/message/615001134 : 0.91 // https://stocktwits.com/message/615001131 : 1.0 // https://stocktwits.com/message/614999989 : 0.997 // https://stocktwits.com/message/614998805 : 0.997 // https://stocktwits.com/message/614998204 : 1.0 // https://stocktwits.com/message/614997700 : 1.0 // https://stocktwits.com/message/614997345 : 1.0 // https://stocktwits.com/message/614996958 : 1.0 // https://stocktwits.com/message/614994941 : 1.0 // https://stocktwits.com/message/614993809 : 1.0 // https://stocktwits.com/message/614991927 : 0.909 // https://stocktwits.com/message/614990933 : 1.0 // https://stocktwits.com/message/614990568 : 0.999 // https://stocktwits.com/message/614990354 : 0.813
AES,AES Corporation,30,0.07,0.37,0.57,https://stocktwits.com/message/614977576 : 1.0 // https://stocktwits.com/message/614966542 : 0.852 // https://stocktwits.com/message/614965603 : 0.999 // https://stocktwits.com/message/614964498 : 1.0 // https://stocktwits.com/message/614937533 : 1.0 // https://stocktwits.com/message/614936533 : 0.857 // https://stocktwits.com/message/614919157 : 0.999 // https://stocktwits.com/message/614882292 : 0.999 // https://stocktwits.com/message/614863150 : 1.0 // https://stocktwits.com/message/614582831 : 1.0 // https://stocktwits.com/message/614570340 : 0.9 // https://stocktwits.com/message/614547062 : 1.0 // https://stocktwits.com/message/614546031 : 0.914 // https://stocktwits.com/message/614529564 : 0.946 // https://stocktwits.com/message/614521394 : 0.994 // https://stocktwits.com/message/614499689 : 0.7 // https://stocktwits.com/message/614473228 : 1.0 // https://stocktwits.com/message/614460030 : 0.998 // https://stocktwits.com/message/614453829 : 1.0 // https://stocktwits.com/message/614444591 : 0.985 // https://stocktwits.com/message/614437059 : 1.0 // https://stocktwits.com/message/614428303 : 1.0 // https://stocktwits.com/message/614416245 : 0.997 // https://stocktwits.com/message/614383396 : 1.0 // https://stocktwits.com/message/614323048 : 0.984 // https://stocktwits.com/message/614200071 : 1.0 // https://stocktwits.com/message/614193043 : 0.991 // https://stocktwits.com/message/614186431 : 0.999 // https://stocktwits.com/message/614160592 : 1.0 // https://stocktwits.com/message/614154393 : 0.997
AFL,Aflac,30,0.13,0.23,0.63,https://stocktwits.com/message/614937424 : 0.879 // https://stocktwits.com/message/614719127 : 1.0 // https://stocktwits.com/message/613804612 : 0.501 // https://stocktwits.com/message/613498337 : 0.975 // https://stocktwits.com/message/613471403 : 1.0 // https://stocktwits.com/message/613365557 : 1.0 // https://stocktwits.com/message/613122578 : 1.0 // https://stocktwits.com/message/613117049 : 1.0 // https://stocktwits.com/message/612840148 : 1.0 // https://stocktwits.com/message/612406225 : 0.998 // https://stocktwits.com/message/612302657 : 1.0 // https://stocktwits.com/message/611685662 : 1.0 // https://stocktwits.com/message/611251707 : 0.996 // https://stocktwits.com/message/610541161 : 0.998 // https://stocktwits.com/message/610313896 : 1.0 // https://stocktwits.com/message/610071776 : 0.604 // https://stocktwits.com/message/610060917 : 1.0 // https://stocktwits.com/message/610045486 : 0.791 // https://stocktwits.com/message/609971405 : 0.984 // https://stocktwits.com/message/609916834 : 1.0 // https://stocktwits.com/message/609778652 : 1.0 // https://stocktwits.com/message/609337222 : 1.0 // https://stocktwits.com/message/609272391 : 1.0 // https://stocktwits.com/message/608452817 : 0.999 // https://stocktwits.com/message/608441346 : 0.978 // https://stocktwits.com/message/608322516 : 1.0 // https://stocktwits.com/message/608220922 : 0.999 // https://stocktwits.com/message/607738684 : 0.948 // https://stocktwits.com/message/607678685 : 0.987 // https://stocktwits.com/message/607599650 : 1.0
A,Agilent Technologies,30,0.17,0.3,0.53,https://stocktwits.com/message/614426778 : 0.95 // https://stocktwits.com/message/614301993 : 1.0 // https://stocktwits.com/message/614288776 : 1.0 // https://stocktwits.com/message/614274921 : 0.789 // https://stocktwits.com/message/614130992 : 1.0 // https://stocktwits.com/message/614063833 : 1.0 // https://stocktwits.com/message/613870823 : 0.992 // https://stocktwits.com/message/613455726 : 1.0 // https://stocktwits.com/message/613115942 : 1.0 // https://stocktwits.com/message/613027259 : 1.0 // https://stocktwits.com/message/613022685 : 1.0 // https://stocktwits.com/message/612811626 : 1.0 // https://stocktwits.com/message/612779228 : 1.0 // https://stocktwits.com/message/612740546 : 0.586 // https://stocktwits.com/message/612598000 : 0.99 // https://stocktwits.com/message/612569614 : 1.0 // https://stocktwits.com/message/612187093 : 0.999 // https://stocktwits.com/message/612158638 : 1.0 // https://stocktwits.com/message/611970782 : 1.0 // https://stocktwits.com/message/611553815 : 0.84 // https://stocktwits.com/message/611502428 : 1.0 // https://stocktwits.com/message/611502280 : 0.518 // https://stocktwits.com/message/611278950 : 0.965 // https://stocktwits.com/message/611251789 : 0.966 // https://stocktwits.com/message/611222325 : 1.0 // https://stocktwits.com/message/610610134 : 0.981 // https://stocktwits.com/message/610584223 : 1.0 // https://stocktwits.com/message/610473080 : 0.999 // https://stocktwits.com/message/609948484 : 0.997 // https://stocktwits.com/message/609659623 : 1.0
